,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
17440,20071600260024,ASP,2020-07-03,RES,blank,1973/11,2.55,0,149,0,17114,blank,FR:305 SF / ,5739713,20071600260024,B,14.0,blank,blank,PINE TREE BLDG,松林大廈,blank,blank,HILLWOOD RD,山林道,25,27,KTST,KIL9700 / KIL9875,|PINE TREE BLDG松林大廈|Phase |Block ,山林道PINE TREE BLDG松林大廈|Phase|Block,山林道PINE TREE BLDG松林大廈|Phase|Block|14|B,尖沙咀,1973,47,PINE TREE BLDG松林大廈,25-27 HILLWOOD RD|山林道,25-27 HILLWOOD RD,25-27 山林道,"松林大廈,山林道","PINE TREE BLDG,HILLWOOD RD","PINE TREE BLDG,HILLWOOD RD|松林大廈,山林道",HILLWOOD RDblankPINE TREE BLDG松林大廈|Phaseblank|Blockblank|14|Bconsid2.55,14,中,低層,西北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16893,19041700650032,ASP,2019-03-28,RES,blank,1984/04,4.2,324,235,12963,17872,blank,BW:17 SF (GU/NU) / ,5528072,19041700650032,A,10.0,blank,blank,PO FAT BLDG,寶發大廈,blank,blank,TEMPLE ST,廟街,273,285,KTST,KIL8076 / KIL8466 /,|PO FAT BLDG寶發大廈|Phase |Block ,廟街PO FAT BLDG寶發大廈|Phase|Block,廟街PO FAT BLDG寶發大廈|Phase|Block|10|A,尖沙咀,1984,36,PO FAT BLDG寶發大廈,273-285 TEMPLE ST|廟街,273-285 TEMPLE ST,273-285 廟街,"寶發大廈,廟街","PO FAT BLDG,TEMPLE ST","PO FAT BLDG,TEMPLE ST|寶發大廈,廟街",TEMPLE STblankPO FAT BLDG寶發大廈|Phaseblank|Blockblank|10|Aconsid4.2,10,低,中層,南,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17397,20060401220018,ASP,2020-05-29,RES,blank,1984/04,4.22,358,280,11788,15071,blank,BW:18 SF (GU/NU) / ,5717600,20060401220018,F,4.0,blank,blank,PO FAT BLDG,寶發大廈,blank,blank,TEMPLE ST,廟街,273,285,KTST,KIL8076 / KIL8466 /,|PO FAT BLDG寶發大廈|Phase |Block ,廟街PO FAT BLDG寶發大廈|Phase|Block,廟街PO FAT BLDG寶發大廈|Phase|Block|4|F,尖沙咀,1984,36,PO FAT BLDG寶發大廈,273-285 TEMPLE ST|廟街,273-285 TEMPLE ST,273-285 廟街,"寶發大廈,廟街","PO FAT BLDG,TEMPLE ST","PO FAT BLDG,TEMPLE ST|寶發大廈,廟街",TEMPLE STblankPO FAT BLDG寶發大廈|Phaseblank|Blockblank|4|Fconsid4.22,4,低,中層,西,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17011,19062000280162,ASP,2019-06-10,RES,blank,2005/05,4.25,328,213,12957,19953,BALCOLY AREA INCL UTILITY PLATFORM                                              ,BW:12 SF (GI/NE) / BAL:38 SF (GI/NI) / ,5568247,19062000280162,D,5.0,blank,blank,THE LODGE,都會名軒,blank,blank,CANTON RD,廣東道,535,blank,KTST,KIL6109 / KIL6110 /,|THE LODGE都會名軒|Phase |Block ,廣東道THE LODGE都會名軒|Phase|Block,廣東道THE LODGE都會名軒|Phase|Block|5|D,尖沙咀,2005,15,THE LODGE都會名軒,535 CANTON RD|廣東道,535 CANTON RD,535 廣東道,"都會名軒,廣東道","THE LODGE,CANTON RD","THE LODGE,CANTON RD|都會名軒,廣東道",CANTON RDblankTHE LODGE都會名軒|Phaseblank|Blockblank|5|Dconsid4.25,5,很低,中層,東南,沒資料,基本,單位實用四正 交通方便 配套完善
17426,20070700740100,ASP,2020-06-15,RES,blank,1961/04,4.28,0,478,0,8954,blank,blank,5734316,20070700740100,C4,13.0,blank,blank,TSIMSHATSUI MANS,華源大廈,blank,blank,NATHAN RD,彌敦道,83,97,KTST,KIL6520sC / KIL6520RP /,|TSIMSHATSUI MANS華源大廈|Phase |Block ,彌敦道TSIMSHATSUI MANS華源大廈|Phase|Block,彌敦道TSIMSHATSUI MANS華源大廈|Phase|Block|13|C4,尖沙咀,1961,59,TSIMSHATSUI MANS華源大廈,83-97 NATHAN RD|彌敦道,83-97 NATHAN RD,83-97 彌敦道,"華源大廈,彌敦道","TSIMSHATSUI MANS,NATHAN RD","TSIMSHATSUI MANS,NATHAN RD|華源大廈,彌敦道",NATHAN RDblankTSIMSHATSUI MANS華源大廈|Phaseblank|Blockblank|13|C4consid4.28,13,高,中層,西,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16974,19052802300305,ASP,2019-05-22,RES,blank,1974/12,4.3,0,330,0,13030,blank,blank,5554559,19052802300305,C,8.0,blank,blank,HANG WAN BLDG,恒運大廈,blank,blank,GRANVILLE RD,加連威老道,42,44,KTST,KIL9530 / KIL9528,|HANG WAN BLDG恒運大廈|Phase |Block ,加連威老道HANG WAN BLDG恒運大廈|Phase|Block,加連威老道HANG WAN BLDG恒運大廈|Phase|Block|8|C,尖沙咀,1974,46,HANG WAN BLDG恒運大廈,42-44 GRANVILLE RD|加連威老道,42-44 GRANVILLE RD,42-44 加連威老道,"恒運大廈,加連威老道","HANG WAN BLDG,GRANVILLE RD","HANG WAN BLDG,GRANVILLE RD|恒運大廈,加連威老道",GRANVILLE RDblankHANG WAN BLDG恒運大廈|Phaseblank|Blockblank|8|Cconsid4.3,8,中,中層,東北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16842,19032500340051,ASP,2019-03-15,RES,blank,1981/04,4.3,305,240,14098,17917,blank,FR:276 SF / ,5514668,19032500340051,C,4.0,blank,blank,EALING COURT,怡齡閣,blank,blank,TEMPLE ST,廟街,259A,blank,KTST,KIL1492sERP /,|EALING COURT怡齡閣|Phase |Block ,廟街EALING COURT怡齡閣|Phase|Block,廟街EALING COURT怡齡閣|Phase|Block|4|C,尖沙咀,1981,39,EALING COURT怡齡閣,259A TEMPLE ST|廟街,259A TEMPLE ST,259A 廟街,"怡齡閣,廟街","EALING COURT,TEMPLE ST","EALING COURT,TEMPLE ST|怡齡閣,廟街",TEMPLE STblankEALING COURT怡齡閣|Phaseblank|Blockblank|4|Cconsid4.3,4,低,高層,東,呂字型,良好,單位實用四正 交通方便 配套完善
16784,19012302170017,ASP,2019-01-18,RES,blank,1984/04,4.3,384,270,11198,15926,blank,blank,5489033,19012302170017,A,8.0,blank,blank,YAN CHI BLDG,恩賜大廈,blank,blank,TEMPLE ST,廟街,263,267,KTST,KIL7202 / KIL7270 /,|YAN CHI BLDG恩賜大廈|Phase |Block ,廟街YAN CHI BLDG恩賜大廈|Phase|Block,廟街YAN CHI BLDG恩賜大廈|Phase|Block|8|A,尖沙咀,1984,36,YAN CHI BLDG恩賜大廈,263-267 TEMPLE ST|廟街,263-267 TEMPLE ST,263-267 廟街,"恩賜大廈,廟街","YAN CHI BLDG,TEMPLE ST","YAN CHI BLDG,TEMPLE ST|恩賜大廈,廟街",TEMPLE STblankYAN CHI BLDG恩賜大廈|Phaseblank|Blockblank|8|Aconsid4.3,8,低,低層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17090,19080901460059,ASP,2019-07-29,RES,blank,1984/04,4.3,324,235,13272,18298,blank,BW:17 SF (GU/NU) / FR:246 SF / ,5595329,19080901460059,D,2.0,blank,blank,PO FAT BLDG,寶發大廈,blank,blank,TEMPLE ST,廟街,273,285,KTST,KIL8076 / KIL8466 /,|PO FAT BLDG寶發大廈|Phase |Block ,廟街PO FAT BLDG寶發大廈|Phase|Block,廟街PO FAT BLDG寶發大廈|Phase|Block|2|D,尖沙咀,1984,36,PO FAT BLDG寶發大廈,273-285 TEMPLE ST|廟街,273-285 TEMPLE ST,273-285 廟街,"寶發大廈,廟街","PO FAT BLDG,TEMPLE ST","PO FAT BLDG,TEMPLE ST|寶發大廈,廟街",TEMPLE STblankPO FAT BLDG寶發大廈|Phaseblank|Blockblank|2|Dconsid4.3,2,低,高層,西,四正,基本,業主減價 上車筍盤 歡迎約睇
16897,19041801580163,ASP,2019-04-11,RES,blank,1970/11,4.3,0,360,0,11944,blank,blank,5529234,19041801580163,7,18.0,blank,blank,STAR MANS,恒星樓,blank,blank,MINDEN ROW,緬甸臺,3,blank,KTST,KIL9401,|STAR MANS恒星樓|Phase |Block ,緬甸臺STAR MANS恒星樓|Phase|Block,緬甸臺STAR MANS恒星樓|Phase|Block|18|7,尖沙咀,1970,50,STAR MANS恒星樓,3 MINDEN ROW|緬甸臺,3 MINDEN ROW,3 緬甸臺,"恒星樓,緬甸臺","STAR MANS,MINDEN ROW","STAR MANS,MINDEN ROW|恒星樓,緬甸臺",MINDEN ROWblankSTAR MANS恒星樓|Phaseblank|Blockblank|18|7consid4.3,18,中,中層,東北,沒資料,有,單位實用四正 交通方便 配套完善
17322,20032500890011,ASP,2020-03-13,RES,blank,1970/11,4.32,0,325,0,13292,blank,blank,5688216,20032500890011,3,15.0,blank,blank,STAR MANS,恒星樓,blank,blank,MINDEN ROW,緬甸臺,3,blank,KTST,KIL9401,|STAR MANS恒星樓|Phase |Block ,緬甸臺STAR MANS恒星樓|Phase|Block,緬甸臺STAR MANS恒星樓|Phase|Block|15|3,尖沙咀,1970,50,STAR MANS恒星樓,3 MINDEN ROW|緬甸臺,3 MINDEN ROW,3 緬甸臺,"恒星樓,緬甸臺","STAR MANS,MINDEN ROW","STAR MANS,MINDEN ROW|恒星樓,緬甸臺",MINDEN ROWblankSTAR MANS恒星樓|Phaseblank|Blockblank|15|3consid4.32,15,中,高層,北,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17399,20060800400114,ASP,2020-05-25,RES,blank,1986/09,4.32,365,264,11836,16364,blank,blank,5718966,20060800400114,A,11.0,blank,blank,QUALITY TOWER,廣利樓,blank,blank,HILLWOOD RD,山林道,29,31,KTST,KIL8851RP,|QUALITY TOWER廣利樓|Phase |Block ,山林道QUALITY TOWER廣利樓|Phase|Block,山林道QUALITY TOWER廣利樓|Phase|Block|11|A,尖沙咀,1986,34,QUALITY TOWER廣利樓,29-31 HILLWOOD RD|山林道,29-31 HILLWOOD RD,29-31 山林道,"廣利樓,山林道","QUALITY TOWER,HILLWOOD RD","QUALITY TOWER,HILLWOOD RD|廣利樓,山林道",HILLWOOD RDblankQUALITY TOWER廣利樓|Phaseblank|Blockblank|11|Aconsid4.32,11,低,高層,東,沒資料,有,業主減價 上車筍盤 歡迎約睇
17199,19111800540028,ASP,2019-10-30,RES,blank,1987/10,4.33,475,308,9116,14058,blank,blank,5640682,19111800540028,A,7.0,blank,blank,KA WING BLDG,嘉榮大廈,blank,blank,GRANVILLE RD,加連威老道,27,blank,KTST,KIL9367 / KIL8162,|KA WING BLDG嘉榮大廈|Phase |Block ,加連威老道KA WING BLDG嘉榮大廈|Phase|Block,加連威老道KA WING BLDG嘉榮大廈|Phase|Block|7|A,尖沙咀,1987,33,KA WING BLDG嘉榮大廈,27 GRANVILLE RD|加連威老道,27 GRANVILLE RD,27 加連威老道,"嘉榮大廈,加連威老道","KA WING BLDG,GRANVILLE RD","KA WING BLDG,GRANVILLE RD|嘉榮大廈,加連威老道",GRANVILLE RDblankKA WING BLDG嘉榮大廈|Phaseblank|Blockblank|7|Aconsid4.33,7,低,高層,西北,四正,良好,單位實用四正 交通方便 配套完善
16849,19032801620084,ASP,2019-03-19,RES,blank,1970/11,4.38,0,315,0,13905,blank,blank,5517141,19032801620084,G,9.0,blank,blank,STAR MANS,恒星樓,blank,blank,MINDEN ROW,緬甸臺,3,blank,KTST,KIL9401,|STAR MANS恒星樓|Phase |Block ,緬甸臺STAR MANS恒星樓|Phase|Block,緬甸臺STAR MANS恒星樓|Phase|Block|9|G,尖沙咀,1970,50,STAR MANS恒星樓,3 MINDEN ROW|緬甸臺,3 MINDEN ROW,3 緬甸臺,"恒星樓,緬甸臺","STAR MANS,MINDEN ROW","STAR MANS,MINDEN ROW|恒星樓,緬甸臺",MINDEN ROWblankSTAR MANS恒星樓|Phaseblank|Blockblank|9|Gconsid4.38,9,中,高層,東南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17405,20061001600273,ASP,2020-05-22,RES,blank,1984/04,4.38,358,280,12235,15643,blank,BW:18 SF (GU/NU) / ,5720901,20061001600273,C,14.0,blank,blank,PO FAT BLDG,寶發大廈,blank,blank,TEMPLE ST,廟街,273,285,KTST,KIL8076 / KIL8466 /,|PO FAT BLDG寶發大廈|Phase |Block ,廟街PO FAT BLDG寶發大廈|Phase|Block,廟街PO FAT BLDG寶發大廈|Phase|Block|14|C,尖沙咀,1984,36,PO FAT BLDG寶發大廈,273-285 TEMPLE ST|廟街,273-285 TEMPLE ST,273-285 廟街,"寶發大廈,廟街","PO FAT BLDG,TEMPLE ST","PO FAT BLDG,TEMPLE ST|寶發大廈,廟街",TEMPLE STblankPO FAT BLDG寶發大廈|Phaseblank|Blockblank|14|Cconsid4.38,14,低,高層,西北,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17406,20061100660012,ASP,2020-05-29,RES,blank,1987/10,4.38,475,308,9221,14221,blank,blank,5721299,20061100660012,A,9.0,blank,blank,KA WING BLDG,嘉榮大廈,blank,blank,GRANVILLE RD,加連威老道,27,blank,KTST,KIL9367 / KIL8162,|KA WING BLDG嘉榮大廈|Phase |Block ,加連威老道KA WING BLDG嘉榮大廈|Phase|Block,加連威老道KA WING BLDG嘉榮大廈|Phase|Block|9|A,尖沙咀,1987,33,KA WING BLDG嘉榮大廈,27 GRANVILLE RD|加連威老道,27 GRANVILLE RD,27 加連威老道,"嘉榮大廈,加連威老道","KA WING BLDG,GRANVILLE RD","KA WING BLDG,GRANVILLE RD|嘉榮大廈,加連威老道",GRANVILLE RDblankKA WING BLDG嘉榮大廈|Phaseblank|Blockblank|9|Aconsid4.38,9,低,中層,東,呂字型,良好,單位實用四正 交通方便 配套完善
17270,20011300590069,ASP,2019-12-24,RES,blank,1974/12,4.43,0,322,0,13758,blank,blank,5661923,20011300590069,D,7.0,blank,blank,HANG WAN BLDG,恒運大廈,blank,blank,GRANVILLE RD,加連威老道,42,44,KTST,KIL9530 / KIL9528,|HANG WAN BLDG恒運大廈|Phase |Block ,加連威老道HANG WAN BLDG恒運大廈|Phase|Block,加連威老道HANG WAN BLDG恒運大廈|Phase|Block|7|D,尖沙咀,1974,46,HANG WAN BLDG恒運大廈,42-44 GRANVILLE RD|加連威老道,42-44 GRANVILLE RD,42-44 加連威老道,"恒運大廈,加連威老道","HANG WAN BLDG,GRANVILLE RD","HANG WAN BLDG,GRANVILLE RD|恒運大廈,加連威老道",GRANVILLE RDblankHANG WAN BLDG恒運大廈|Phaseblank|Blockblank|7|Dconsid4.43,7,中,低層,南,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16940,19051002810043,ASP,2019-04-25,RES,blank,1980/11,4.45,373,274,11930,16241,blank,blank,5542106,19051002810043,D,3.0,blank,blank,WING FU MANS,永富大廈,blank,blank,PARKES ST,白加士街,10,24,KTST,KIL8583RP / KIL8619RP /,|WING FU MANS永富大廈|Phase |Block ,白加士街WING FU MANS永富大廈|Phase|Block,白加士街WING FU MANS永富大廈|Phase|Block|3|D,尖沙咀,1980,40,WING FU MANS永富大廈,10-24 PARKES ST|白加士街,10-24 PARKES ST,10-24 白加士街,"永富大廈,白加士街","WING FU MANS,PARKES ST","WING FU MANS,PARKES ST|永富大廈,白加士街",PARKES STblankWING FU MANS永富大廈|Phaseblank|Blockblank|3|Dconsid4.45,3,低,低層,南,呂字型,有,單位實用四正 交通方便 配套完善
17259,19123100290176,ASP,2019-12-20,RES,blank,1970/11,4.45,0,335,0,13284,blank,blank,5657574,19123100290176,6,9.0,blank,blank,STAR MANS,恒星樓,blank,blank,MINDEN ROW,緬甸臺,3,blank,KTST,KIL9401,|STAR MANS恒星樓|Phase |Block ,緬甸臺STAR MANS恒星樓|Phase|Block,緬甸臺STAR MANS恒星樓|Phase|Block|9|6,尖沙咀,1970,50,STAR MANS恒星樓,3 MINDEN ROW|緬甸臺,3 MINDEN ROW,3 緬甸臺,"恒星樓,緬甸臺","STAR MANS,MINDEN ROW","STAR MANS,MINDEN ROW|恒星樓,緬甸臺",MINDEN ROWblankSTAR MANS恒星樓|Phaseblank|Blockblank|9|6consid4.45,9,中,低層,南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17189,19110701850035,ASP,2019-11-01,RES,blank,1985/10,4.48,396,270,11313,16593,blank,BW:20 SF (GI/NE) / ,5637029,19110701850035,B,9.0,blank,blank,SHUN FAI BLDG,順輝大廈,blank,blank,KIMBERLEY RD,金巴利道,64,66A,KTST,KIL10528RP / KIL10530RP,|SHUN FAI BLDG順輝大廈|Phase |Block ,金巴利道SHUN FAI BLDG順輝大廈|Phase|Block,金巴利道SHUN FAI BLDG順輝大廈|Phase|Block|9|B,尖沙咀,1985,35,SHUN FAI BLDG順輝大廈,64-66A KIMBERLEY RD|金巴利道,64-66A KIMBERLEY RD,64-66A 金巴利道,"順輝大廈,金巴利道","SHUN FAI BLDG,KIMBERLEY RD","SHUN FAI BLDG,KIMBERLEY RD|順輝大廈,金巴利道",KIMBERLEY RDblankSHUN FAI BLDG順輝大廈|Phaseblank|Blockblank|9|Bconsid4.48,9,低,低層,東南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17361,20051201710212,ASP,2020-04-22,RES,blank,1987/12,4.48,475,362,9432,12376,blank,blank,5705222,20051201710212,D,6.0,blank,blank,DORFU COURT,多富閣,blank,blank,HAU FOOK ST,厚福街,5,6,KTST,KIL9907RP / KIL9297RP /,|DORFU COURT多富閣|Phase |Block ,厚福街DORFU COURT多富閣|Phase|Block,厚福街DORFU COURT多富閣|Phase|Block|6|D,尖沙咀,1987,33,DORFU COURT多富閣,5-6 HAU FOOK ST|厚福街,5-6 HAU FOOK ST,5-6 厚福街,"多富閣,厚福街","DORFU COURT,HAU FOOK ST","DORFU COURT,HAU FOOK ST|多富閣,厚福街",HAU FOOK STblankDORFU COURT多富閣|Phaseblank|Blockblank|6|Dconsid4.48,6,低,低層,北,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16997,19061100610037,ASP,2019-05-24,RES,blank,1976/08,4.48,332,266,13494,16842,blank,blank,5562693,19061100610037,F,14.0,blank,blank,LUCKY BLDG,幸運大廈,blank,blank,AUSTIN RD,柯士甸道,55,73,KTST,KIL8705RP / KIL8873 /,|LUCKY BLDG幸運大廈|Phase |Block ,柯士甸道LUCKY BLDG幸運大廈|Phase|Block,柯士甸道LUCKY BLDG幸運大廈|Phase|Block|14|F,尖沙咀,1976,44,LUCKY BLDG幸運大廈,55-73 AUSTIN RD|柯士甸道,55-73 AUSTIN RD,55-73 柯士甸道,"幸運大廈,柯士甸道","LUCKY BLDG,AUSTIN RD","LUCKY BLDG,AUSTIN RD|幸運大廈,柯士甸道",AUSTIN RDblankLUCKY BLDG幸運大廈|Phaseblank|Blockblank|14|Fconsid4.48,14,近乎零,低層,南,呂字型,基本,單位實用四正 交通方便 配套完善
17106,19082000180233,ASP,2019-07-25,RES,blank,1966/01,4.5,0,505,0,8911,blank,blank,5600703,19082000180233,B,6.0,blank,blank,PILKEM HSE,利金大樓,blank,blank,PILKEM ST,庇利金街,45,51,KTST,KIL1626sAss4RP /,|PILKEM HSE利金大樓|Phase |Block ,庇利金街PILKEM HSE利金大樓|Phase|Block,庇利金街PILKEM HSE利金大樓|Phase|Block|6|B,尖沙咀,1966,54,PILKEM HSE利金大樓,45-51 PILKEM ST|庇利金街,45-51 PILKEM ST,45-51 庇利金街,"利金大樓,庇利金街","PILKEM HSE,PILKEM ST","PILKEM HSE,PILKEM ST|利金大樓,庇利金街",PILKEM STblankPILKEM HSE利金大樓|Phaseblank|Blockblank|6|Bconsid4.5,6,近乎零,低層,東,呂字型,基本,單位實用四正 交通方便 配套完善
17108,19082101550048,ASP,2019-07-31,RES,blank,1981/10,4.5,430,270,10465,16667,blank,blank,5601780,19082101550048,A,5.0,blank,blank,HILMANWAY MANS,喜滿懷大廈,blank,blank,KWUN CHUNG ST,官涌街,24,30,KTST,NKIL3248RP / KIL3247RP /,|HILMANWAY MANS喜滿懷大廈|Phase |Block ,官涌街HILMANWAY MANS喜滿懷大廈|Phase|Block,官涌街HILMANWAY MANS喜滿懷大廈|Phase|Block|5|A,尖沙咀,1981,39,HILMANWAY MANS喜滿懷大廈,24-30 KWUN CHUNG ST|官涌街,24-30 KWUN CHUNG ST,24-30 官涌街,"喜滿懷大廈,官涌街","HILMANWAY MANS,KWUN CHUNG ST","HILMANWAY MANS,KWUN CHUNG ST|喜滿懷大廈,官涌街",KWUN CHUNG STblankHILMANWAY MANS喜滿懷大廈|Phaseblank|Blockblank|5|Aconsid4.5,5,低,中層,西北,四正,良好,業主減價 上車筍盤 歡迎約睇
17177,19102501790100,ASP,2019-10-08,RES,blank,1979/05,4.5,392,310,11480,14516,blank,blank,5631998,19102501790100,E,13.0,blank,blank,WAH FUNG BLDG,華楓大廈,blank,blank,MINDEN AVE,棉登徑,17,23,KTST,KIL9107 / KIL10078 /,|WAH FUNG BLDG華楓大廈|Phase |Block ,棉登徑WAH FUNG BLDG華楓大廈|Phase|Block,棉登徑WAH FUNG BLDG華楓大廈|Phase|Block|13|E,尖沙咀,1979,41,WAH FUNG BLDG華楓大廈,17-23 MINDEN AVE|棉登徑,17-23 MINDEN AVE,17-23 棉登徑,"華楓大廈,棉登徑","WAH FUNG BLDG,MINDEN AVE","WAH FUNG BLDG,MINDEN AVE|華楓大廈,棉登徑",MINDEN AVEblankWAH FUNG BLDG華楓大廈|Phaseblank|Blockblank|13|Econsid4.5,13,低,中層,東北,沒資料,良好,業主減價 上車筍盤 歡迎約睇
16831,19031800440031,ASP,2019-03-07,RES,blank,2007/01,4.5,372,257,12097,17510,blank,BW:6 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5511176,19031800440031,B,8.0,blank,blank,CITY 18,德成軒,blank,blank,TAK HING ST,德興街,18,blank,KTST,KIL10535RP,|CITY 18德成軒|Phase |Block ,德興街CITY 18德成軒|Phase|Block,德興街CITY 18德成軒|Phase|Block|8|B,尖沙咀,2007,13,CITY 18德成軒,18 TAK HING ST|德興街,18 TAK HING ST,18 德興街,"德成軒,德興街","CITY 18,TAK HING ST","CITY 18,TAK HING ST|德成軒,德興街",TAK HING STblankCITY 18德成軒|Phaseblank|Blockblank|8|Bconsid4.5,8,很低,低層,南,四正,基本,業主減價 上車筍盤 歡迎約睇
17390,20060101440023,ASP,2020-05-13,RES,blank,1959/11,4.5,0,355,0,12676,blank,blank,5715267,20060101440023,B4,1.0,blank,blank,CARNARVON MANS,嘉芬大廈,blank,blank,CARNARVON RD,加拿分道,8,12E,KTST,KIL7936,|CARNARVON MANS嘉芬大廈|Phase |Block ,加拿分道CARNARVON MANS嘉芬大廈|Phase|Block,加拿分道CARNARVON MANS嘉芬大廈|Phase|Block|1|B4,尖沙咀,1959,61,CARNARVON MANS嘉芬大廈,8-12E CARNARVON RD|加拿分道,8-12E CARNARVON RD,8-12E 加拿分道,"嘉芬大廈,加拿分道","CARNARVON MANS,CARNARVON RD","CARNARVON MANS,CARNARVON RD|嘉芬大廈,加拿分道",CARNARVON RDblankCARNARVON MANS嘉芬大廈|Phaseblank|Blockblank|1|B4consid4.5,1,高,高層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17318,20032301780057,ASP,2020-03-05,RES,blank,1976/12,4.5,510,350,8824,12857,blank,blank,5687308,20032301780057,C,12.0,blank,blank,DIAMOND COURT,山林閣,blank,blank,HILLWOOD RD,山林道,10,12,KTST,KIL9908,|DIAMOND COURT山林閣|Phase |Block ,山林道DIAMOND COURT山林閣|Phase|Block,山林道DIAMOND COURT山林閣|Phase|Block|12|C,尖沙咀,1976,44,DIAMOND COURT山林閣,10-12 HILLWOOD RD|山林道,10-12 HILLWOOD RD,10-12 山林道,"山林閣,山林道","DIAMOND COURT,HILLWOOD RD","DIAMOND COURT,HILLWOOD RD|山林閣,山林道",HILLWOOD RDblankDIAMOND COURT山林閣|Phaseblank|Blockblank|12|Cconsid4.5,12,近乎零,中層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16996,19061001950019,ASP,2019-05-23,RES,blank,1976/08,4.53,332,266,13645,17030,blank,blank,5562319,19061001950019,G,8.0,blank,blank,LUCKY BLDG,幸運大廈,blank,blank,AUSTIN RD,柯士甸道,55,73,KTST,KIL8705RP / KIL8873 /,|LUCKY BLDG幸運大廈|Phase |Block ,柯士甸道LUCKY BLDG幸運大廈|Phase|Block,柯士甸道LUCKY BLDG幸運大廈|Phase|Block|8|G,尖沙咀,1976,44,LUCKY BLDG幸運大廈,55-73 AUSTIN RD|柯士甸道,55-73 AUSTIN RD,55-73 柯士甸道,"幸運大廈,柯士甸道","LUCKY BLDG,AUSTIN RD","LUCKY BLDG,AUSTIN RD|幸運大廈,柯士甸道",AUSTIN RDblankLUCKY BLDG幸運大廈|Phaseblank|Blockblank|8|Gconsid4.53,8,近乎零,中層,北,呂字型,有,單位實用四正 交通方便 配套完善
17237,19121600570022,ASP,2019-12-06,RES,blank,1986/11,4.55,471,353,9660,12890,blank,BW:7 SF (GU/NU) / ,5653050,19121600570022,D,3.0,blank,blank,PASSKON COURT,金柏閣,blank,blank,KIMBERLEY RD,金巴利道,79,81,KTST,KIL6018sARP /KIL6018sAss2,|PASSKON COURT金柏閣|Phase |Block ,金巴利道PASSKON COURT金柏閣|Phase|Block,金巴利道PASSKON COURT金柏閣|Phase|Block|3|D,尖沙咀,1986,34,PASSKON COURT金柏閣,79-81 KIMBERLEY RD|金巴利道,79-81 KIMBERLEY RD,79-81 金巴利道,"金柏閣,金巴利道","PASSKON COURT,KIMBERLEY RD","PASSKON COURT,KIMBERLEY RD|金柏閣,金巴利道",KIMBERLEY RDblankPASSKON COURT金柏閣|Phaseblank|Blockblank|3|Dconsid4.55,3,低,中層,東南,沒資料,基本,業主減價 上車筍盤 歡迎約睇
17208,19112202220107,ASP,2019-11-07,RES,blank,1981/10,4.55,430,270,10581,16852,blank,blank,5643843,19112202220107,A,2.0,blank,blank,HILMANWAY MANS,喜滿懷大廈,blank,blank,KWUN CHUNG ST,官涌街,24,30,KTST,NKIL3248RP / KIL3247RP /,|HILMANWAY MANS喜滿懷大廈|Phase |Block ,官涌街HILMANWAY MANS喜滿懷大廈|Phase|Block,官涌街HILMANWAY MANS喜滿懷大廈|Phase|Block|2|A,尖沙咀,1981,39,HILMANWAY MANS喜滿懷大廈,24-30 KWUN CHUNG ST|官涌街,24-30 KWUN CHUNG ST,24-30 官涌街,"喜滿懷大廈,官涌街","HILMANWAY MANS,KWUN CHUNG ST","HILMANWAY MANS,KWUN CHUNG ST|喜滿懷大廈,官涌街",KWUN CHUNG STblankHILMANWAY MANS喜滿懷大廈|Phaseblank|Blockblank|2|Aconsid4.55,2,低,高層,南,四正,基本,業主減價 上車筍盤 歡迎約睇
